Number,Address,Bedrooms,Baths,SquareFeet,YearBuilt,YearSold,CostPerSqFt,SalePrice
864,1326 Davis Ave ,3,1.75,858,1983,2014,110.72,95000
865,1603 Summer ,3,2,1008,1976,2014,96.13,96900
866,1419 Spencer St ,3,1.75,1375,1914,2014,70.55,97000
867,408 6th Ave ,3,1.75,1248,1914,2014,78.13,97500
868,307 East St ,4,1.5,1440,1900,2014,68.06,98000
869,1514 3rd Ave ,3,1.5,0,1963,2014,0,105000
870,1309 Elm St ,3,1.5,1152,1940,2014,92.71,106800
871,10 Valley View Dr ,2,1.5,1052,1978,2014,104.56,110000
872,1122 Ann St ,3,2,1502,1900,2014,73.24,110000
873,818 High St ,3,1.5,1535,1931,2014,74.59,114500
874,1520 4th Ave ,2,1,1064,1900,2014,108.08,115000
875,15153 Hwy F-17 E ,2,1.75,1144,1933,2014,100.52,115000
876,1601 4th Ave ,3,1.5,1519,1900,2014,76.04,115500
877,1828 8th Ave ,3,1,1040,1963,2014,112.5,117000
878,610 14th Ave ,2,1.75,1144,1977,2014,102.27,117000
879,416 12th Ave ,3,1,969,1967,2015,122.29,118500
880,523 Broad St ,4,2,2215,1900,2014,54.18,120000
881,1816 Belmont ,3,1.75,972,1966,2014,125.51,122000
882,1010 Pearl St ,4,1.75,1673,1900,2014,74.72,125000
883,1 Shoreline Dr ,3,1.75,1412,1994,2015,88.88,125500
884,1 Shoreline Dr ,3,1.75,1412,1994,2015,88.88,125500
885,615 Harrison Ave ,3,1.75,1259,1999,2014,101.47,127750
886,232 4th Ave W ,3,2.5,0,2004,2015,0,128500
887,1920 6th Ave ,3,1.5,1610,1968,2014,80.75,130000
888,712 7th Ave ,3,1,1826,1948,2015,72.29,132000
889,1713 4th Ave ,3,1.5,1610,1900,2014,86.96,140000
890,1027 Summer St ,3,2,1733,1900,2014,80.78,140000
891,1849 9th Ave ,4,1,1479,1952,2014,98.04,145000
892,1812 10th Avenue Place,3,2,1064,1963,2014,139.1,148000
893,1124 3rd Ave ,4,1.5,2424,1900,2014,61.47,149000
894,1834 Spencer St ,3,1.75,1104,1969,2014,136.78,151000
895,1839 Spencer St ,3,2,1548,1969,2014,102.71,159000
896,811 8th Ave ,4,2.25,1550,1900,2014,103.87,161000
897,1623 Reed St ,3,2.5,1232,1968,2014,131.49,162000
898,1504 Spencer St ,3,1.75,1412,1950,2014,115.08,162500
899,1907 Belmont Dr ,3,1.75,1376,1959,2014,119.27,164122
900,1604 8th Ave ,3,1.75,1546,1954,2015,107.37,166000
901,1433 Elm St ,3,1.5,1847,1948,2014,91.77,169500
902,33 Fore Seasons Dr ,3,3,0,1977,2014,0,173000
903,13822 Hwy F27 E ,4,2.5,1680,1999,2014,106.55,179000
904,1912 Spring St ,3,1.75,1591,1993,2014,115.65,184000
905,1726 Summer St ,4,1.75,1512,1996,2015,125,189000
906,1904 Belmont St ,4,2.5,2026,1959,2015,93.78,190000
907,515 9th Ave ,5,2.75,2546,1954,2014,75.41,192000
908,1806 Summer St ,4,3,1680,1996,2014,116.07,195000
909,308 Brandon St S ,5,2.75,1382,2006,2014,143.27,198000
910,105 E 156th St N ,2,1.5,1676,1964,2014,119.33,200000
911,114 East St ,3,2,1740,2012,2014,120.69,210000
912,1605 Reed St ,4,2.75,1440,1967,2014,146.53,211000
913,532 12th Ave. ,3,1,1974,1976,2014,107.4,212000
914,1428 Main St ,3,1.5,1944,1908,2014,109.05,212000
915,957 350th Ave ,3,2,1700,1966,2015,128.82,219000
916,1830 West St ,3,1.75,2044,1953,2014,116.44,238000
917,1816 Prairie St ,4,3,2078,1973,2014,117.9,245000
918,1606 Hobart St ,3,2.5,2482,1997,2014,102.74,255000
919,618 390th Ave ,4,2.5,2440,1900,2014,104.51,255000
920,108 East St ,4,3,1650,2013,2015,156.97,259000
921,36 Shoreline Dr ,3,2.75,1692,1996,2014,161.94,274000
922,730 370th Ave ,4,2.75,2328,1900,2014,119.85,279000
923,18 Shoreline Dr ,3,2.5,1760,1997,2014,161.93,285000
924,1764 HWY T-38 N-60 ,3,3.5,1860,2003,2014,153.23,285000
925,569 Hwy 6 ,4,3,1920,2006,2014,169.27,325000
926,2000 Country Club Dr ,4,3,2958,1968,2014,121.7,360000
927,311 11th Ave ,4,3,3359,1993,2014,107.92,362500
928,384 450th Ave ,3,2.5,1565,1987,2015,258.79,405000
929,154 Walnut Rd ,5,6,3792,1990,2014,159.81,606000
